,Date,Day of Week,Month,Year,number of items featured,who's featured,product type,number of pictures in post,likes,comments,saves,shares,impressions,number of days since previous post,season,profile visits,percent weren't following,follows,purpose
58,2/2/2021,Tuesday,February,2021,1,layout,sleeved top,2,112,7,4,1,959,6,winter,17,42,1,advertise
59,2/9/2021,Tuesday,February,2021,1,myself,avatar themed,2,158,15,4,3,1052,7,winter,22,47,0,collection
60,2/12/2021,Friday,February,2021,2,none,avatar themed,4,129,12,2,0,984,3,winter,11,47,0,collection
61,2/15/2021,Monday,February,2021,1,layout,avatar themed,3,113,5,3,1,898,3,winter,11,44,0,collection
62,2/26/2021,Friday,February,2021,1,layout,avatar themed,3,118,13,2,3,1182,11,winter,50,56,1,collection
63,3/22/2021,Monday,March,2021,1,myself,tank top,2,156,7,5,3,1256,24,spring,68,56,2,sale
64,3/28/2021,Sunday,March,2021,7,layout,tank top,6,103,7,1,2,1285,6,spring,12,59,0,advertise
65,4/23/2021,Friday,April,2021,1,myself,tiny top,1,154,9,7,5,1679,24,spring,33,65,8,debut
66,7/17/2021,Saturday,July,2021,1,myself,bikini,1,149,11,8,2,2178,85,summer,91,75,0,debut
67,8/16/2021,Monday,August,2021,1,myself,tank top,1,136,3,3,1,1639,32,summer,36,70,0,advertise
68,9/21/2021,Tuesday,September,2021,3,none,decor,2,120,15,1,0,1400,35,fall,40,67,2,brag
69,9/24/2021,Friday,September,2021,6,layout,hair accessories,4,100,11,2,1,842,3,fall,22,40,2,advertise
70,9/26/2021,Sunday,September,2021,0,none,decor,5,82,9,3,0,830,2,fall,7,49,0,brag
71,10/9/2021,Saturday,October,2021,3,layout,vest,4,78,6,3,0,1177,13,fall,34,61,2,advertise
72,10/16/2021,Saturday,October,2021,1,myself,dress,4,200,28,6,5,2776,7,fall,123,74,6,promoted
73,12/2/2021,Wednesday,December,2021,1,myself,beer can hat,2,134,12,1,6,1121,45,winter,42,56,2,debut
74,1/26/2022,Wednesday,January,2022,1,myself,sweater,3,140,15,1,3,725,57,winter,79,30,2,debut
75,2/1/2022,Tuesday,February,2022,6,myself,mixed,1,94,5,1,3,1343,6,winter,0,0,0,brag
76,2/3/2022,Thursday,February,2022,1,myself,sweater,3,106,13,0,6,574,2,winter,26,26,0,style
77,2/6/2022,Sunday,February,2022,1,layout,animal hat,1,57,3,1,4,378,3,winter,25,22,0,debut
78,2/14/2022,Monday,February,2022,3,customer,heart bag,5,99,5,0,7,690,8,winter,26,52,2,debut
79,2/18/2022,Friday,February,2022,3,customer,heart bag,3,106,2,4,7,760,4,winter,56,52,0,advertise
80,2/27/2022,Sunday,February,2022,1,myself,tank top,3,69,10,1,5,766,9,winter,33,56,0,style
81,3/5/2022,Saturday,March,2022,1,myself,tank top,1,54,3,3,14,1623,6,spring,117,70,6,promoted
